KODA;SLOVENSKI NAZIV;ANGLEŠKI NAZIV
A77.3;Pegavica, ki jo povzroča Rickettsia australis;Spotted fever due to Rickettsia australis
A77.8;Druge pegavice, ki jih prenaša klop;Other spotted fevers
A77.9;Pegavica, ki jo prenaša klop, neopredeljena;Spotted fever, unspecified
A78;Vročica Q;Q fever
A79;Druge rikecioze;Other rickettsioses
A79.0;Rovska vročica;Trench fever
A79.1;Rikecijske koze, ki jih povzroča Rickettsia akari;Rickettsialpox due to Rickettsia akari
A79.8;Druge opredeljene rikecioze;Other specified rickettsioses
A79.9;Rikecioza, neopredeljena;Rickettsiosis, unspecified
A80;Akutni poliomielitis;Acute poliomyelitis
A80.0;Akutni paralitični poliomielitis, povezan z vakcino;Acute paralytic poliomyelitis, vaccine-associated
A80.1;Akutni paralitični poliomielitis, divji virus, importiran;Acute paralytic poliomyelitis, wild virus, imported
A80.2;Akutni paralitični poliomielitis, divji virus, endemičen ;Acute paralytic poliomyelitis, wild virus, indigenous
A80.3;Akutni paralitični poliomielitis, druge vrste in neopredeljen;Acute paralytic poliomyelitis, other and unspecified
A80.4;Akutni neparalitični poliomielitis;Acute nonparalytic poliomyelitis
A80.9;Akutni poliomielitis, neopredeljen;Acute poliomyelitis, unspecified
A81;Atipične virusne infekcije centralnega živčnega sistema;Atypical virus infections of central nervous system
A81.0;Creutzfeldt-Jakobova bolezen;Creutzfeldt-Jakob disease
A81.1;Subakutni sklerozirajoči panencefalitis;Subacute sclerosing panencephalitis
A81.2;Progresivna multifokalna levkoencefalopatija;Progressive multifocal leukoencephalopathy
A81.8;Druge atipične virusne infekcije centralnega živčnega sistema;Other atypical virus infections of central nervous system
A81.9;Atipična virusna infekcija centralnega živčnega sistema, neopredeljena;Atypical virus infection of central nervous system, unspecified
A82;Steklina;Rabies
A82.0;Silvatična steklina;Sylvatic rabies
A82.1;Urbana steklina;Urban rabies
A82.9;Steklina, neopredeljena;Rabies, unspecified
A83;Virusni encefalitis, ki ga prenaša komar;Mosquito-borne viral encephalitis
A83.0;Japonski encefalitis;Japanese encephalitis
A83.1;Zahodni konjski encefalitis;Western equine encephalitis
A83.2;Vzhodni konjski encefalitis;Eastern equine encephalitis
A83.3;St. Louisni encefalitis;St Louis encephalitis
A83.4;Avstralski encefalitis;Australian encephalitis
A83.5;Kalifornijski encefalitis;California encephalitis
A83.6;Virusna bolezen Rocio;Rocio virus disease
A83.8;Druge vrste virusni encefalitis, ki ga prenaša komar;Other mosquito-borne viral encephalitis
A83.9;Virusni encefalitis, ki ga prenaša komar, neopredeljen;Mosquito-borne viral encephalitis, unspecified
A84;Virusni encefalitis, ki ga prenaša klop;Tick-borne viral encephalitis
A84.0;Daljnovzhodni encefalitis, ki ga prenaša klop [ruski spomladansko-poletni encefalitis];Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
A84.1;Centralnoevropski encefalitis, ki ga prenaša klop;Central European tick-borne encephalitis
A84.8;Druge vrste virusni encefalitis, ki ga prenaša klop;Other tick-borne viral encephalitis
A84.9;Virusni encefalitis, ki ga prenaša klop, neopredeljen;Tick-borne viral encephalitis, unspecified
A85;Druge vrste virusni encefalitis, ki ni uvrščen drugje;Other viral encephalitis, not elsewhere classified
A85.0;Enterovirusni encefalitis;Enteroviral encephalitis
A85.1;Adenovirusni encefalitis;Adenoviral encephalitis
A85.2;Virusni encefalitis, ki ga prenašajo členonožci, neopredeljen;Arthropod-borne viral encephalitis, unspecified
A85.8;Druge vrste opredeljeni virusni encefalitis;Other specified viral encephalitis
A86;Neopredeljeni virusni encefalitis;Unspecified viral encephalitis
A87;Virusni meningitis;Viral meningitis
A87.0;Enterovirusni meningitis;Enteroviral meningitis
A87.1;Adenovirusni meningitis;Adenoviral meningitis
A87.2;Limfocitni horiomeningitis;Lymphocytic choriomeningitis
A87.8;Druge vrste virusni meningitis;Other viral meningitis
A87.9;Virusni meningitis, neopredeljen;Viral meningitis, unspecified
A88;Druge virusne infekcije centralnega živčnega sistema, ki niso uvrščene drugje;Other viral infections of central nervous system, not elsewhere classified
A88.0;Enterovirusna vročica z izpuščajem [Bostonski eksantem];Enteroviral exanthematous fever [Boston exanthem]
A88.1;Epidemična vrtoglavica;Epidemic vertigo
A88.8;Druge opredeljene virusne infekcije centralnega živčnega sistema;Other specified viral infections of central nervous system
A89;Neopredeljena virusna infekcija centralnega živčnega sistema;Unspecified viral infection of central nervous system
A90;Vročica denga [klasična denga];Dengue fever [classical dengue]
A91;Hemoragična vročica denga;Dengue haemorrhagic fever
A92;Druge virusne vročice, ki jih prenaša komar;Other mosquito-borne viral fevers
A92.0;Virusna bolezen chikungunya;Chikungunya virus disease
A92.1;Vročica O'nyong-nyong;O'nyong-nyong fever
A92.2;Venezuelska konjska vročica;Venezuelan equine fever
A92.3;Zahodnonilska vročica;West Nile virus infection
A92.4;Vročica doline Rift;Rift Valley fever
A92.8;Druge opredeljene virusne vročice, ki jih prenaša komar;Other specified mosquito-borne viral fevers
A92.9;Virusna vročica, ki jo prenaša komar, neopredeljena;Mosquito-borne viral fever, unspecified
A93;Druge virusne vročice, ki jih prenašajo členonožci, in niso uvrščene drugje;Other arthropod-borne viral fevers, not elsewhere classified
A93.0;Virusna bolezen Oropouche;Oropouche virus disease
A93.1;Vročica peščene muhe;Sandfly fever
A93.2;Koloradska vročica, ki jo prenaša klop;Colorado tick fever
A93.8;Druge opredeljene virusne vročice, ki jih prenašajo členonožci;Other specified arthropod-borne viral fevers
A94;Nespecifična virusna vročica, ki jo prenašajo členonožci;Unspecified arthropod-borne viral fever
A95;Rumena mrzlica;Yellow fever
A95.0;Silvatična rumena mrzlica;Sylvatic yellow fever
A95.1;Urbana rumena mrzlica;Urban yellow fever
A95.9;Rumena mrzlica, neopredeljena;Yellow fever, unspecified
A96;Arenavirusna hemoragična vročica;Arenaviral haemorrhagic fever
A96.0;Junina hemoragična vročica;Junin haemorrhagic fever
A96.1;Hemoragična vročica Machupo;Machupo haemorrhagic fever
A96.2;Vročica Lassa;Lassa fever
A96.8;Druge arenavirusne hemoragične vročice;Other arenaviral haemorrhagic fevers
A96.9;Arenavirusna hemoragična vročica, neopredeljena;Arenaviral haemorrhagic fever, unspecified
A98;Druge virusne hemoragične vročice, ki niso uvrščene drugje;Other viral haemorrhagic fevers, not elsewhere classified
A98.0;Krimsko-kongoška hemoragična vročica;Crimean-Congo haemorrhagic fever
A98.1;Omska hemoragična vročica;Omsk haemorrhagic fever
A98.2;Bolezen kyasanurskega gozda;Kyasanur Forest disease
A98.3;Marburgvirusna bolezen;Marburg virus disease
A98.4;Ebolavirusna bolezen;Ebola virus disease
A98.5;Hemoragična vročica z renalnim sindromom;Haemorrhagic fever with renal syndrome
A98.8;Druge opredeljene virusne hemoragične vročice;Other specified viral haemorrhagic fevers
A99;Neopredeljena hemoragična virusna vročica;Unspecified viral haemorrhagic fever
B00;Herpesvirusne [herpes simplex] infekcije;Herpesviral [herpes simplex] infections
B00.0;Eczema herpeticum;Eczema herpeticum
B00.1;Herpesvirusni vezikularni dermatitis;Herpesviral vesicular dermatitis
B00.2;Herpesvirusni gingivostomatitis in faringotonzilitis;Herpesviral gingivostomatitis and pharyngotonsillitis
B00.3;Herpesvirusni meningitis;Herpesviral meningitis
B00.4;Herpesvirusni encefalitis;Herpesviral encephalitis
B00.5;Herpesvirusno vnetje očesa;Herpesviral ocular disease
B00.7;Diseminirana herpesvirusna bolezen;Disseminated herpesviral disease
B00.8;Druge oblike herpesvirusne infekcije;Other forms of herpesviral infection
B00.9;Herpesvirusna infekcija, neopredeljena;Herpesviral infection, unspecified
B01;Varičela [norice];Varicella [chickenpox]
B01.0;Varičelni meningitis;Varicella meningitis
B01.1;Varičelni encefalitis;Varicella encephalitis
B01.2;Varičelna pljučnica;Varicella pneumonia
B01.8;Varičela z drugimi komplikacijami;Varicella with other complications
B01.9;Varičela brez komplikacij;Varicella without complication
B02;Zoster [herpes zoster];Zoster [herpes zoster]
B02.0;Encefalitis zaradi zostra;Zoster encephalitis
B02.1;Meningitis zaradi zostra;Zoster meningitis
B02.2;Zoster s prizadetostjo drugih delov živčnega sistema;Zoster with other nervous system involvement
B02.3;Vnetje očesa zaradi zostra;Zoster ocular disease
B02.7;Diseminirani zoster;Disseminated zoster
B02.8;Zoster z drugimi zapleti;Zoster with other complications
B02.9;Zoster brez zapleta;Zoster without complication
B03;Koze;Smallpox 
B04;Opičje koze;Monkeypox
B05;Ošpice;Measles
B05.0;Ošpice, ki se komplicirajo z encefalitisom;Measles complicated by encephalitis
B05.1;Ošpice, ki se komplicirajo z meningitisom;Measles complicated by meningitis
B05.2;Ošpice, ki se komplicirajo s pnevmonijo;Measles complicated by pneumonia
B05.3;Ošpice, ki se komplicirajo z vnetjem srednjega ušesa;Measles complicated by otitis media
B05.4;Ošpice s črevesnimi zapleti;Measles with intestinal complications
B05.8;Ošpice z drugimi zapleti;Measles with other complications
B05.9;Ošpice brez zapletov;Measles without complication
B06;Rdečke [rubella];Rubella [German measles]
B06.0;Rdečke z nevrološkimi komplikacijami;Rubella with neurological complications
B06.8;Rdečke z drugimi komplikacijami;Rubella with other complications
B06.9;Rdečke brez komplikacij;Rubella without complication
B07;Virusne bradavice;Viral warts
B08;Druge virusne infekcije, z značilnimi spremembami na koži in sluznicah, ki niso uvrščene drugje;Other viral infections characterised by skin and mucous membrane lesions, not elsewhere classified
B08.0;Druge ortopoksvirusne infekcije;Other orthopoxvirus infections
B08.1;Molluscum contagiosum;Molluscum contagiosum
B08.2;Exanthema subitum [šesta bolezen];Exanthema subitum [sixth disease]
B08.3;Erythema infectiosum [peta bolezen];Erythema infectiosum [fifth disease]
B08.4;Enterovirusni vezikularni stomatitis z eksantemom;Enteroviral vesicular stomatitis with exanthem
B08.5;Enterovirusni vezikularni faringitis;Enteroviral vesicular pharyngitis
B08.8;Druge opredeljene virusne infekcije, za katere so značilne spremembe na koži in sluznici;Other specified viral infections characterised by skin and mucous membrane lesions
B09;Neopredeljena virusna infekcija, za katero so značilne spremembe na koži in sluznici;Unspecified viral infection characterised by skin and mucous membrane lesions
B15;Akutni hepatitis A;Acute hepatitis A
B15.0;Hepatitis A s hepatično komo;Hepatitis A with hepatic coma
B15.9;Hepatitis A brez hepatične kome;Hepatitis A without hepatic coma
B16;Akutni hepatitis B;Acute hepatitis B
B16.0;Akutni hepatitis B z agensom delta (istočasna infekcija) z jetrno komo;Acute hepatitis B with delta-agent (coinfection) with hepatic coma
B16.1;Akutni hepatitis B z agensom delta (istočasna infekcija) brez jetrne kome;Acute hepatitis B with delta-agent (coinfection) without hepatic coma
B16.2;Akutni hepatitis B brez agensa delta z jetrno komo;Acute hepatitis B without delta-agent with hepatic coma
B16.9;Akutni hepatitis B brez agensa delta in brez jetrne kome;Acute hepatitis B without delta-agent and without hepatic coma
B17;Druge vrste akutni virusni hepatitis;Other acute viral hepatitis
B17.0;Akutna (dodatna) infekcija delta pri nosilcu virusa hepatitisa B;Acute delta-(super)infection of hepatitis B carrier
B17.1;Akutni hepatitis C;Acute hepatitis C
B17.2;Akutni hepatitis E;Acute hepatitis E
B17.8;Druge vrste opredeljeni akutni virusni hepatitis;Other specified acute viral hepatitis
B17.9;Akutni virusni hepatitis, neopredeljen;Acute viral hepatitis, unspecified
B18;Kronični virusni hepatitis;Chronic viral hepatitis
B18.0;Kronični hepatitis B z agensom delta;Chronic viral hepatitis B with delta-agent
B18.1;Kronični virusni hepatitis B brez agensa delta;Chronic viral hepatitis B without delta-agent
B18.2;Kronični virusni hepatitis C;Chronic viral hepatitis C
B18.8;Druge vrste kronični hepatitis;Other chronic viral hepatitis
B18.9;Kronični virusni hepatitis, neopredeljen;Chronic viral hepatitis, unspecified
B19;Neopredeljeni virusni hepatitis;Unspecified viral hepatitis
B19.0;Neopredeljeni virusni hepatitis s komo;Unspecified viral hepatitis with hepatic coma
B19.9;Neopredeljeni virusni hepatitis brez kome;Unspecified viral hepatitis without hepatic coma
B20;Bolezen, ki jo povzroča virus človeške imunske pomanjkljivosti [HIV], ki se kaže z infekcijskimi in parazitskimi boleznimi;Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
B21;Bolezen, ki jo povzroča virus človeške imunske pomanjkljivosti [HIV], ki se kaže z malignimi neoplazmami;Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
B22;Bolezen, ki jo povzroča virus človeške imunske pomanjkljivosti [HIV], ki se kaže z drugimi opredeljenimi boleznimi;Human immunodeficiency virus [HIV] disease resulting in other specified diseases
B23;Bolezen, ki jo povzroča virus človeške imunske pomanjkljivosti [HIV], ki se kaže z drugimi stanji;Human immunodeficiency virus [HIV] disease resulting in other conditions
B23.0;Sindrom akutne infekcije HIV;Acute HIV infection syndrome
B23.8;Bolezen HIV, ki se kaže z drugimi opredeljenimi stanji;HIV disease resulting in other specified conditions
B24;Neopredeljena bolezen, ki jo povzroča virus človeške imunske pomanjkljivosti [HIV];Unspecified human immunodeficiency virus [HIV] disease
B25;Citomegalovirusna bolezen;Cytomegaloviral disease
B25.0;Citomegalovirusna pljučnica (J17.1*);Cytomegaloviral pneumonitis (J17.1*)
B25.1;Citomegalovirusni hepatitis;Cytomegaloviral hepatitis
B25.2;Citomegalovirusni pankreatitis;Cytomegaloviral pancreatitis
B25.8;Druge citomegalovirusne bolezni;Other cytomegaloviral diseases
B25.9;Citomegalovirusna bolezen, neopredeljena;Cytomegaloviral disease, unspecified
B26;Mumps;Mumps
B26.0;Mumpsov orhitis;Mumps orchitis
B26.1;Mumpsov meningitis;Mumps meningitis
B26.2;Mumpsov encefalitis;Mumps encephalitis
B26.3;Mumpsov pankreatitis;Mumps pancreatitis
B26.8;Mumps z drugimi zapleti;Mumps with other complications
B26.9;Mumps brez komplikacij;Mumps without complication
B27;Infekcijska mononukleoza;Infectious mononucleosis
B27.0;Gamaherpesvirusna mononukleoza;Gammaherpesviral mononucleosis
B27.1;Citomegalovirusna mononukleoza;Cytomegaloviral mononucleosis
B27.8;Druge infekcijske mononukleoze;Other infectious mononucleosis
B27.9;Infekcijska mononukleoza, neopredeljena;Infectious mononucleosis, unspecified
B30;Virusni konjunktivitis;Viral conjunctivitis
B30.0;Keratokonjunktivitis, ki ga povzroča adenovirus;Keratoconjunctivitis due to adenovirus
B30.1;Konjunktivitis, ki ga povzroča adenovirus;Conjunctivitis due to adenovirus
B30.2;Virusni faringokonjunktivitis;Viral pharyngoconjunctivitis
B30.3;Akutni epidemični hemoragični konjunktivitis (enterovirusni);Acute epidemic haemorrhagic conjunctivitis (enteroviral)
B30.8;Druge vrste virusni konjunktivitis;Other viral conjunctivitis
B30.9;Virusni konjunktivitis, neopredeljen;Viral conjunctivitis, unspecified
B33;Druge virusne bolezni, ki niso uvrščene drugje;Other viral diseases, not elsewhere classified
B33.0;Epidemična mialgija;Epidemic myalgia
B33.1;Bolezen Ross River;Ross River disease
B33.2;Virusni karditis;Viral carditis
B33.3;Retrovirusne infekcije, ki niso uvrščene drugje;Retrovirus infections, not elsewhere classified
B33.4;Hantavirusni pljučni sindrom [HPS] [HCPS] (J17.1*);Hantavirus (cardio-) pulmonary syndrome [HPS] [HCPS]
B33.8;Druge opredeljene virusne bolezni;Other specified viral diseases
B34;Virusne infekcije neopredeljenega mesta;Viral infection of unspecified site
B34.0;Adenovirusna infekcija, neopredeljena;Adenovirus infection, unspecified site
B34.1;Enterovirusna infekcija, neopredeljena;Enterovirus infection, unspecified site
B34.2;Coronavirusna infekcija, neopredeljena;Coronavirus infection, unspecified site
B34.3;Parvovirusna infekcija, neopredeljena;Parvovirus infection, unspecified site
B34.4;Papovavirusna infekcija, neopredeljena;Papovavirus infection, unspecified site
B34.8;Druge virusne infekcije neopredeljenega mesta;Other viral infections of unspecified site
B34.9;Virusna infekcija, neopredeljena;Viral infection, unspecified
B35;Dermatofitoze;Dermatophytosis
B35.0;Tinea barbae in tinea capitis;Tinea barbae and tinea capitis
B35.1;Tinea unguium;Tinea unguium
B35.2;Tinea manuum;Tinea manuum
